y,x0,x1,x2,x3,x4,x5,x6,x7
2.499,A0,A6,A1,103.0,150.0,3,A0,A0
0.75,A0,A0,A1,,150.0,1,A0,A1
7.2,A0,A7,A0,0.0,150.0,9,A1,A2
1.45,A1,A2,A1,101.0,150.0,6,A0,A1
0.899,A1,A8,A1,110.0,150.0,2,A1,A0
0.3,A1,A0,A1,75.0,150.0,1,A2,A0
3.4,A1,A4,A1,101.0,150.0,6,A0,A1
1.3,A1,A0,A1,101.0,150.0,10,A0,A1
2.15,A0,A6,A1,90.0,150.0,5,A0,A1
6.3,A0,A0,A0,0.0,150.0,0,A2,A2
2.999,A0,A4,A0,143.0,150.0,3,A1,A1
4.98,A0,,A1,125.0,125.0,6,A0,A1
2.0,A1,A4,A2,,150.0,4,A2,A1
17.8,A0,A5,A0,190.0,150.0,10,A1,A1
4.1,A0,A8,A1,102.0,150.0,4,A0,A1
12.25,A0,A4,A1,,150.0,0,A0,A2
2.2,A0,A2,A1,60.0,150.0,3,A0,A1
0.75,A1,A7,A1,175.0,150.0,9,A2,A2
0.699,A1,A0,A1,136.0,150.0,11,A0,A1
0.85,A1,A6,A1,60.0,125.0,2,A0,A2
2.5,A0,A4,A0,,150.0,12,A0,A1
13.0,A1,A4,A0,231.0,150.0,11,A1,A1
6.25,A0,A2,A1,80.0,90.0,6,A1,A1
11.5,A0,A3,A1,218.0,150.0,2,A0,A2
1.9,A0,A4,A1,107.0,150.0,6,A1,A1
6.299,A0,A5,A1,141.0,60.0,8,A0,A1
47.0,A1,A4,A0,400.0,70.0,10,A0,A1
1.2,A1,A3,A1,116.0,150.0,6,A0,A0
5.89,A0,A4,A1,80.0,80.0,11,A0,A1
3.8,A0,A2,A1,75.0,100.0,7,A0,A1
4.0,A1,A6,A1,109.0,100.0,8,A0,A2
1.1,A0,A1,A1,0.0,150.0,9,A0,A2
14.5,A1,A0,A0,122.0,50.0,2,A0,A1
2.5,A0,A2,A1,90.0,60.0,5,A0,A0
8.89,A0,A4,A1,122.0,70.0,5,A0,A1
1.59,A0,A4,A0,115.0,150.0,12,A0,A2
0.599,A1,A0,A1,140.0,150.0,8,A0,A1
2.0,A1,A2,A1,75.0,125.0,11,A0,A1
4.95,A1,A4,A0,95.0,150.0,8,A0,A1
18.5,A1,A6,A0,245.0,125.0,4,A0,A1
1.95,A0,A7,A1,,150.0,1,A3,A1
1.65,A1,A7,A1,170.0,150.0,0,A2,A0
0.85,A1,A2,A1,75.0,150.0,8,A0,A1
10.75,A0,A8,A1,92.0,60.0,10,A1,A1
1.499,A0,A7,A1,105.0,150.0,0,A0,A2
14.999,A0,,A1,86.0,10.0,2,A0,A1
5.6,A0,A2,A1,68.0,50.0,7,A0,A0
1.499,A1,A4,A1,75.0,90.0,1,A0,A0
2.999,A1,A0,A0,193.0,150.0,10,A2,A1
3.499,A0,A8,A1,,150.0,9,A1,A2
21.1,A0,A5,A1,177.0,80.0,7,A1,A1
3.6,A1,A4,A2,,150.0,9,A0,A1
8.2,A1,A2,A1,80.0,40.0,11,A0,A1
3.5,A0,A2,A1,69.0,150.0,12,A1,A1
7.2,A0,A8,A1,88.0,150.0,9,A1,A1
3.5,A0,A0,A1,100.0,150.0,2,A1,A1
7.5,A1,A4,A0,279.0,150.0,3,A2,A2
2.15,A0,A3,A1,174.0,125.0,7,A2,A0
8.9,A1,A2,A1,69.0,80.0,6,A0,A1
1.499,A0,A2,A1,0.0,125.0,0,A0,A1
5.9,A0,A8,A0,109.0,150.0,12,A1,A1
1.0,A1,A4,A1,125.0,150.0,11,A0,A1
3.24,A1,,A1,69.0,150.0,1,A0,A1
2.5,A0,A0,A0,150.0,150.0,11,A1,A2
22.99,A1,A3,A0,333.0,90.0,7,A0,A1
32.5,A1,A6,A0,204.0,30.0,1,A1,A1
0.7,A1,A2,A1,65.0,150.0,11,A0,A2
23.9,A0,A4,A0,204.0,125.0,10,A1,A2
0.699,A1,A0,A1,101.0,150.0,6,A0,A0
2.2,A1,A2,A1,70.0,150.0,1,A1,A1
5.9,A1,A2,A1,75.0,100.0,7,A0,A1
0.0,A0,A0,A1,140.0,150.0,3,A1,A2
1.199,A0,A4,A0,211.0,150.0,11,A0,A0
9.99,A0,A0,A1,105.0,150.0,6,A1,A2
4.8,A1,A4,A1,140.0,125.0,6,A0,A1
8.39,A0,A4,A1,80.0,100.0,7,A0,A1
10.9,A0,A5,A1,150.0,125.0,5,A0,A1
0.0,A1,A0,A1,150.0,150.0,0,A1,A1
4.0,A1,A6,A0,116.0,100.0,10,A0,A1
0.85,A0,A6,A2,0.0,150.0,4,A0,A1
0.4,A0,A0,A1,90.0,150.0,0,A0,A2
15.9,A1,A3,A0,,100.0,8,A0,A1
3.95,A0,,A1,170.0,150.0,10,A0,A1
1.099,A1,A0,A0,125.0,150.0,5,A0,A1
2.8,A0,A0,A1,131.0,150.0,8,A1,A0
0.15,A1,A0,A1,116.0,150.0,12,A0,A1
3.0,A0,A4,A1,75.0,125.0,4,A0,A1
0.0,A0,A2,A1,135.0,150.0,5,A2,A1
6.8,A0,A6,A1,140.0,150.0,4,A1,A1
1.99,A1,A2,A0,60.0,70.0,11,A0,A1
1.2,A0,A2,A1,44.0,80.0,3,A2,A1
0.6,A0,A0,A1,195.0,150.0,11,A0,A0
0.65,A1,A2,A1,75.0,150.0,5,A0,A1
0.45,A0,A2,A2,0.0,150.0,1,A0,A2
3.1,A0,A5,A1,75.0,80.0,3,A0,A2
3.99,A0,A2,A1,71.0,100.0,4,A0,A1
2.9,A1,A2,A1,69.0,150.0,11,A0,A1
6.75,A0,A4,A0,99.0,30.0,3,A0,A1
5.8,A0,A0,A0,170.0,125.0,11,A4,A1
7.0,A1,A6,A0,82.0,125.0,6,A0,A1
0.55,A0,A0,A1,90.0,150.0,4,A2,A1
1.25,A0,A4,A0,136.0,150.0,0,A0,A2
1.1,A0,A4,A1,102.0,150.0,7,A0,A1
7.3,A1,A5,A1,107.0,125.0,9,A1,A1
1.1,A0,A7,A1,101.0,150.0,2,A0,A2
0.65,A0,A4,A1,75.0,150.0,6,A0,A2
0.0,A0,A7,A1,101.0,150.0,6,A0,A2
24.5,A0,A4,A0,211.0,125.0,4,A0,A1
14.999,A0,A7,A1,122.0,70.0,1,A2,A1
4.35,A0,A4,A1,90.0,125.0,4,A1,A1
12.999,A0,A6,A0,102.0,70.0,2,A0,A1
3.999,A1,A2,A1,95.0,125.0,4,A0,A1
12.85,A0,A2,A1,87.0,20.0,11,A0,A1
1.599,A0,A2,A1,,150.0,6,A0,A1
0.95,A0,A2,A1,0.0,125.0,11,A0,A1
0.1,A1,,A1,0.0,150.0,12,A0,A2
0.0,A1,A0,A1,150.0,150.0,7,A0,A1
2.1,A1,A2,A1,60.0,60.0,5,A0,A1
0.5,A1,,A1,75.0,150.0,3,A0,A1
29.0,A1,A7,A2,0.0,20.0,5,A0,A1
9.45,A1,A4,A0,218.0,150.0,8,A1,A1
1.0,A0,A4,A1,0.0,150.0,0,A0,A1
1.299,A0,A2,A1,75.0,150.0,5,A0,A1
3.6,A0,A4,A1,,150.0,2,A0,A1
2.799,A1,A4,A1,163.0,125.0,0,A0,A1
3.2,A0,A6,A1,116.0,150.0,0,A2,A1
12.999,A1,A3,A1,170.0,80.0,2,A0,A1
8.45,A0,A6,A0,84.0,60.0,9,A0,A1
3.2,A0,A4,A1,143.0,150.0,2,A0,A1
1.0,A0,A2,A1,75.0,150.0,5,A0,A1
1.0,A1,A4,A1,90.0,150.0,3,A0,A1
4.0,A0,A3,A1,163.0,150.0,9,A0,A1
0.2,A0,A0,A1,116.0,150.0,5,A0,A1
18.0,A0,A3,A1,170.0,60.0,9,A0,A1
0.777,A0,A2,A1,58.0,150.0,4,A0,A2
1.0,A1,A4,A1,54.0,150.0,9,A0,A1
4.8,A0,A2,A1,68.0,80.0,6,A0,A1
3.6,A0,A4,A0,82.0,60.0,3,A0,A1
1.95,A1,A0,A1,131.0,150.0,5,A0,A1
1.4,A0,A6,A1,131.0,150.0,12,A0,A1
9.5,A0,A5,A0,174.0,150.0,1,A1,A1
3.25,A0,A2,A1,64.0,125.0,3,A0,A1
1.6,A1,A3,A0,170.0,125.0,6,A0,A0
0.25,A1,A4,A1,119.0,150.0,0,A2,A2
4.2,A1,A3,A0,136.0,150.0,7,A0,A1
47.5,A1,A5,A0,245.0,70.0,11,A1,A2
0.5,A0,A4,A1,0.0,150.0,4,A0,A1
7.5,A1,A0,A1,170.0,150.0,5,A1,A1
0.85,A1,A2,A1,60.0,150.0,0,A2,A1
12.5,A0,A0,A0,143.0,150.0,4,A1,A1
2.499,A0,A0,A1,239.0,150.0,6,A0,A1
6.3,A0,A3,A1,150.0,150.0,10,A0,A1
1.0,A1,A0,A1,90.0,150.0,2,A2,A1
2.99,A1,A8,A1,125.0,150.0,2,A0,A1
2.3,A0,A2,A1,,150.0,9,A0,A1
2.4,A0,A3,A1,68.0,150.0,7,A0,A2
0.85,A0,A4,A1,116.0,150.0,1,A0,A1
0.0,A1,A0,A1,150.0,150.0,0,A2,A1
19.8,A0,A5,A0,,150.0,8,A1,A2
3.4,A0,A3,A1,,150.0,6,A0,A1
2.45,A0,A4,A1,116.0,150.0,10,A0,A1
5.35,A1,A2,A1,82.0,90.0,4,A0,A1
3.2,A1,A0,A1,101.0,150.0,3,A1,A1
2.499,A1,A7,A0,0.0,150.0,0,A0,A2
10.25,A0,A2,A1,86.0,30.0,10,A0,A1
3.79,A1,A8,A1,101.0,150.0,6,A1,A2
7.99,A0,A8,A1,143.0,125.0,8,A0,A1
0.85,A0,A2,A1,75.0,150.0,1,A0,A1
3.9,A0,A3,A0,136.0,100.0,1,A0,A1
0.3,A0,A2,A1,101.0,150.0,10,A0,A0
3.99,A1,A3,A1,170.0,150.0,10,A0,A1
12.29,A1,A8,A0,92.0,40.0,10,A1,A1
4.5,A0,A4,A1,,150.0,3,A0,A1
5.7,A1,A2,A1,95.0,40.0,5,A0,A1
19.0,A0,A4,A1,105.0,40.0,10,A1,A1
13.99,A1,A0,A0,197.0,150.0,8,A1,A1
10.9,A0,A3,A1,160.0,125.0,8,A0,A1
4.0,A1,A5,A1,160.0,150.0,7,A0,A1
32.5,A0,A4,A1,190.0,20.0,5,A1,A1
3.0,A1,A2,A1,,150.0,3,A1,A2
5.39,A1,A0,A0,,150.0,3,A0,A0
5.4,A1,A8,A1,150.0,150.0,8,A1,A1
1.9,A0,A4,A1,75.0,150.0,11,A0,A0
0.65,A0,A4,A1,90.0,150.0,6,A0,A1
33.6,A1,A6,A0,204.0,30.0,7,A0,A1
1.499,A0,A8,A1,,125.0,4,A0,A1
0.5,A1,A2,A1,75.0,70.0,7,A0,A1
11.9,A0,A4,A1,177.0,150.0,10,A1,A1
6.15,A1,A2,A1,69.0,60.0,10,A0,A1
0.79,A0,A0,A1,82.0,150.0,11,A0,A2
2.75,A0,A2,A1,75.0,100.0,11,A0,A1
0.85,A1,A0,A1,174.0,150.0,4,A0,A2
4.999,A0,A5,A0,308.0,150.0,12,A0,A1
7.5,A1,A4,A0,143.0,150.0,10,A1,A1
0.1,A0,A2,A1,44.0,150.0,6,A0,A0
1.7,A1,A0,A1,179.0,150.0,0,A1,A2
6.2,A1,A2,A1,69.0,80.0,7,A0,A1
10.99,A0,A0,A0,187.0,150.0,9,A0,A1
4.79,A0,A2,A1,69.0,50.0,1,A0,A1
2.999,A1,A4,A1,103.0,125.0,9,A0,A1
1.0,A1,A2,A1,75.0,125.0,6,A0,A0
6.69,A0,A2,A1,0.0,125.0,4,A0,A1
0.12,A1,A7,A2,0.0,150.0,4,A0,A2
14.5,A1,A7,A0,160.0,125.0,5,A0,A1
0.25,A1,A3,A1,131.0,150.0,8,A0,A0
5.399,A0,A3,A1,193.0,125.0,0,A2,A1
2.25,A0,A4,A1,70.0,150.0,7,A1,A2
14.9,A0,A7,A0,110.0,50.0,0,A1,A1
0.85,A0,A2,A1,60.0,150.0,8,A0,A1
1.5,A0,,A0,75.0,80.0,8,A2,A2
11.5,A1,A4,A1,,50.0,10,A0,A1
25.9,A0,,A1,156.0,30.0,9,A0,A1
1.05,A0,A0,A1,125.0,150.0,3,A0,A0
12.25,A1,A0,A0,143.0,150.0,2,A1,A1
0.5,A0,A4,A1,,150.0,2,A0,A1
1.7,A1,,A1,90.0,150.0,8,A0,A1
6.85,A0,A5,A0,0.0,150.0,2,A2,A1
4.449,A0,A2,A0,84.0,60.0,5,A0,A1
3.199,A0,,A0,179.0,150.0,9,A1,A1
0.45,A0,A7,A2,0.0,5.0,0,A0,A2
14.5,A1,A6,A1,143.0,80.0,3,A0,A1
1.95,A1,A2,A1,150.0,150.0,11,A0,A2
3.999,A0,A4,A1,34.0,90.0,9,A0,A1
0.8,A1,A2,A1,54.0,150.0,9,A0,A1
0.777,A1,A2,A1,75.0,150.0,12,A3,A1
3.1,A1,,A1,65.0,125.0,3,A0,A2
2.5,A0,A0,A1,136.0,150.0,4,A1,A1
10.5,A0,A8,A1,116.0,150.0,10,A1,A1
0.1,A0,A0,A1,81.0,150.0,10,A1,A0
3.9,A1,A4,A1,131.0,150.0,2,A1,A0
0.85,A0,A4,A1,101.0,150.0,7,A0,A1
6.499,A0,A3,A1,224.0,150.0,10,A0,A1
5.5,A0,A0,A1,177.0,150.0,0,A1,A2
1.4,A0,A4,A1,75.0,100.0,6,A0,A1
0.85,A1,A4,A1,116.0,150.0,7,A0,A1
4.999,A0,A0,A1,,150.0,4,A1,A1
0.6,A1,A7,A2,0.0,100.0,0,A2,A2
1.5,A1,A0,A0,101.0,150.0,12,A1,A0
2.5,A1,A7,A0,299.0,150.0,11,A2,A1
1.6,A0,A2,A1,90.0,150.0,0,A2,A1
6.9,A1,A3,A2,0.0,125.0,10,A2,A1
4.5,A1,A4,A0,,150.0,3,A1,A2
1.45,A0,A2,A1,65.0,125.0,6,A0,A1
3.1,A0,A8,A1,101.0,150.0,11,A1,A1
4.09,A0,,A0,184.0,150.0,12,A1,A1
5.8,A1,A0,A1,140.0,150.0,4,A1,A1
18.75,A1,A8,A0,140.0,70.0,1,A1,A1
1.6,A1,A7,A0,,150.0,8,A0,A2
5.844,A1,A0,A1,120.0,125.0,12,A1,A2
0.99,A0,A4,A1,103.0,150.0,3,A0,A0
1.28,A1,A2,A1,50.0,150.0,7,A0,A1
1.99,A0,A0,A0,177.0,150.0,3,A1,A0
2.099,A1,A0,A1,101.0,150.0,7,A0,A1
0.0,A0,A4,A0,,150.0,7,A1,A2
5.2,A1,A4,A0,,150.0,8,A0,A1
0.55,A0,A3,A1,130.0,150.0,6,A0,A1
0.85,A0,A2,A1,45.0,150.0,2,A0,A1
2.9,A1,A6,A1,,150.0,12,A1,A1
0.0,A1,A2,A1,200.0,150.0,4,A0,A1
4.599,A1,A4,A0,163.0,150.0,11,A1,A1
14.99,A0,A0,A0,184.0,150.0,6,A1,A2
4.499,A0,A0,A1,131.0,150.0,6,A1,A1
0.0,A1,A7,A1,70.0,150.0,0,A0,A0
0.77,A0,A2,A1,0.0,150.0,10,A0,A1
3.9,A0,A8,A1,90.0,150.0,3,A0,A1
0.5,A0,A2,A1,60.0,150.0,7,A0,A1
0.4,A0,A0,A1,0.0,150.0,0,A1,A2
6.2,A1,A8,A2,129.0,150.0,0,A0,A2
16.49,A1,A4,A0,120.0,5.0,8,A0,A1
13.0,A1,A6,A1,170.0,125.0,11,A3,A1
13.995,A1,A0,A0,140.0,150.0,11,A1,A1
3.3,A1,A4,A0,188.0,150.0,7,A0,A2
8.75,A0,A0,A0,105.0,100.0,1,A0,A1
2.5,A1,A4,A1,101.0,150.0,9,A0,A1
3.75,A0,A8,A1,131.0,150.0,2,A1,A1
4.999,A0,A4,A1,118.0,125.0,9,A0,A1
5.1,A1,,A1,145.0,150.0,3,A0,A1
2.3,A1,A3,A1,,150.0,9,A0,A1
13.499,A1,A7,A0,211.0,150.0,6,A0,A2
2.4,A1,A4,A1,82.0,150.0,4,A0,A1
22.8,A0,A6,A0,160.0,50.0,7,A0,A1
4.2,A1,A8,A1,,70.0,8,A0,A1
0.7,A1,A2,A1,60.0,150.0,2,A0,A1
0.998,A1,A3,A1,90.0,150.0,6,A0,A1
0.95,A0,A7,A1,66.0,150.0,8,A2,A1
2.5,A1,A0,A1,97.0,125.0,6,A0,A1
1.4,A0,A2,A1,50.0,150.0,9,A0,A1
0.99,A1,A4,A1,50.0,150.0,3,A0,A1
4.5,A1,A4,A1,90.0,150.0,8,A1,A1
3.25,A0,A0,A1,122.0,150.0,7,A0,A1
1.59,A0,A0,A1,115.0,150.0,12,A2,A1
0.32,A0,A7,A2,0.0,5.0,0,A2,A2
1.199,A1,A0,A1,101.0,100.0,6,A0,A1
10.99,A1,A4,A1,140.0,30.0,2,A0,A1
1.9,A1,A4,A0,0.0,150.0,0,A0,A2
7.9,A0,A0,A0,140.0,150.0,7,A1,A2
2.7,A0,A8,A1,91.0,150.0,0,A1,A1
2.0,A0,A4,A1,120.0,90.0,5,A2,A1
11.5,A1,A4,A1,,125.0,7,A1,A1
1.799,A0,A2,A1,0.0,125.0,3,A0,A1
7.5,A1,A4,A1,218.0,150.0,7,A1,A1
0.35,A0,A3,A1,75.0,150.0,10,A0,A0
0.0,A0,A4,A0,,150.0,2,A3,A2
0.5,A1,A2,A1,54.0,150.0,6,A0,A0
5.7,A0,A2,A1,0.0,30.0,3,A0,A2
12.999,A0,A0,A0,140.0,150.0,4,A1,A1
0.5,A0,A2,A1,50.0,125.0,7,A0,A1
20.5,A1,A0,A1,140.0,80.0,3,A1,A1
0.899,A1,A8,A1,116.0,150.0,3,A0,A1
1.85,A0,A0,A1,150.0,150.0,4,A0,A1
3.25,A0,A4,A0,143.0,150.0,9,A0,A0
0.2,A1,A2,A1,50.0,125.0,0,A0,A2
3.5,A0,A7,A1,0.0,150.0,10,A1,A1
0.8,A0,A4,A0,150.0,150.0,4,A0,A0
0.299,A1,A2,A1,75.0,150.0,10,A0,A1
24.5,A0,A5,A0,313.0,50.0,6,A0,A1
3.299,A0,A7,A1,116.0,150.0,0,A0,A1
0.8,A0,A0,A1,107.0,150.0,9,A0,A1
4.033,A0,,A1,125.0,150.0,3,A0,A1
5.45,A0,A0,A0,179.0,150.0,1,A1,A1
6.0,A0,A0,A1,140.0,150.0,11,A1,A1
3.2,A1,A3,A0,179.0,150.0,1,A0,A1
1.89,A1,A4,A1,64.0,150.0,0,A0,A2
14.25,A0,A5,A0,224.0,150.0,9,A1,A0
1.4,A0,A4,A1,150.0,150.0,2,A0,A1
0.125,A1,A2,A1,39.0,150.0,4,A0,A1
7.2,A0,,A1,,80.0,4,A0,A1
2.75,A0,A7,A1,78.0,150.0,12,A2,A1
4.2,A0,A3,A1,230.0,150.0,5,A0,A1
11.3,A0,A3,A1,116.0,40.0,12,A0,A1
10.5,A1,A5,A1,140.0,40.0,10,A0,A1
2.3,A1,A0,A0,,150.0,3,A1,A1
21.0,A1,A0,A0,162.0,60.0,7,A1,A2
1.2,A0,A0,A1,0.0,150.0,1,A0,A2
25.8,A0,A0,A0,150.0,20.0,5,A1,A1
12.8,A1,A4,A1,140.0,90.0,4,A1,A1
6.2,A0,A2,A1,80.0,80.0,10,A0,A1
11.9,A0,A0,A0,231.0,150.0,9,A1,A1
0.0,A0,A2,A1,69.0,150.0,3,A0,A1
0.222,A1,A8,A0,,150.0,8,A0,A0
6.999,A1,A8,A0,105.0,150.0,9,A1,A0
4.5,A1,A0,A0,150.0,150.0,3,A1,A1
6.8,A0,A8,A1,105.0,125.0,7,A1,A1
0.6,A0,A0,A1,75.0,150.0,1,A0,A1
1.999,A0,A7,A2,0.0,90.0,0,A0,A2
1.69,A0,A8,A1,101.0,150.0,1,A1,A2
0.85,A0,A7,A1,0.0,150.0,0,A2,A2
6.1,A0,A0,A1,163.0,150.0,8,A1,A0
0.45,A0,A7,A2,,40.0,0,A2,A2
1.8,A0,A7,A1,75.0,150.0,0,A2,A2
0.25,A1,A7,A1,0.0,150.0,0,A0,A0
3.99,A1,A2,A1,80.0,40.0,11,A0,A1
2.6,A1,A6,A0,60.0,150.0,9,A0,A1
0.18,A1,A7,A1,26.0,60.0,0,A2,A2
4.95,A0,A6,A0,109.0,100.0,11,A0,A1
19.5,A1,A5,A0,200.0,150.0,12,A1,A1
12.99,A0,A0,A0,224.0,150.0,1,A1,A1
0.6,A1,A2,A2,0.0,150.0,0,A0,A2
5.5,A1,A0,A1,150.0,150.0,5,A1,A0
3.6,A1,,A2,0.0,150.0,4,A1,A2
2.85,A1,A7,A1,,150.0,9,A1,A1
5.99,A0,,A1,102.0,150.0,3,A1,A1
1.35,A0,A0,A1,125.0,150.0,6,A0,A1
0.6,A1,A4,A1,105.0,150.0,8,A0,A0
1.2,A1,,A0,,150.0,0,A3,A2
22.95,A0,A6,A0,306.0,125.0,1,A0,A1
0.55,A0,A3,A1,102.0,150.0,11,A0,A0
3.9,A0,A2,A1,86.0,150.0,3,A2,A2
0.13,A0,A7,A1,0.0,150.0,0,A0,A0
2.65,A1,A4,A0,147.0,125.0,4,A0,A2
0.1,A1,A7,A2,0.0,150.0,0,A2,A2
1.3,A1,A4,A1,102.0,150.0,2,A0,A1
2.999,A0,A3,A1,140.0,150.0,9,A0,A1
0.6,A1,A4,A1,105.0,150.0,7,A0,A0
9.8,A1,A4,A1,105.0,80.0,11,A0,A1
0.0,A1,A7,A2,0.0,100.0,1,A2,A2
3.39,A1,A8,A0,136.0,125.0,5,A0,A1
4.0,A1,A4,A1,122.0,150.0,0,A2,A2
2.5,A1,A4,A2,0.0,150.0,11,A1,A1
4.699,A1,A5,A1,141.0,150.0,7,A0,A1
2.8,A0,A4,A1,102.0,150.0,12,A0,A1
3.2,A0,A4,A1,125.0,150.0,6,A0,A1
0.3,A1,A7,A2,0.0,150.0,0,A2,A2
0.7,A1,A4,A1,75.0,150.0,9,A0,A1
16.9,A1,A3,A1,179.0,150.0,11,A0,A1
0.85,A1,A0,A1,170.0,150.0,5,A0,A1
0.22,A1,A8,A1,143.0,30.0,11,A1,A2
11.8,A1,A8,A1,140.0,150.0,5,A0,A1
24.9,A1,A5,A0,239.0,125.0,11,A1,A1
4.65,A1,A4,A0,193.0,150.0,2,A1,A1
7.45,A0,,A1,86.0,125.0,11,A3,A1
2.9,A1,A4,A1,220.0,150.0,3,A0,A0
3.0,A0,A4,A1,,150.0,3,A0,A1
14.5,A1,A6,A1,163.0,80.0,3,A0,A1
2.0,A0,A2,A1,84.0,150.0,11,A3,A1
1.7,A0,A7,A2,136.0,150.0,6,A0,A2
2.2,A1,A2,A1,75.0,150.0,1,A0,A1
19.9,A1,A0,A0,143.0,125.0,2,A1,A1
4.199,A0,A4,A1,87.0,150.0,3,A0,A1
7.2,A1,A0,A0,224.0,150.0,5,A1,A0
3.9,A1,A2,A1,125.0,150.0,7,A2,A1
0.75,A1,A6,A1,90.0,150.0,4,A0,A1
0.899,A0,A0,A0,165.0,150.0,0,A0,A0
0.89,A0,A4,A1,58.0,150.0,2,A0,A1
14.5,A0,A0,A0,170.0,90.0,1,A1,A1
10.0,A1,A6,A2,0.0,20.0,4,A0,A2
0.999,A0,A0,A1,147.0,150.0,6,A3,A1
4.2,A0,A4,A1,60.0,150.0,7,A0,A1
5.0,A0,A4,A0,256.0,150.0,7,A0,A0
24.999,A0,A8,A0,140.0,70.0,2,A1,A1
0.0,A1,A4,A1,100.0,125.0,0,A2,A1
2.99,A1,A6,A1,110.0,150.0,9,A0,A1
2.2,A1,A7,A1,60.0,90.0,10,A0,A1
3.799,A0,A2,A1,80.0,90.0,3,A0,A1
2.65,A1,A2,A1,0.0,125.0,10,A0,A1
1.65,A0,A2,A1,68.0,150.0,0,A0,A2
1.0,A0,A7,A1,116.0,5.0,7,A0,A1
5.499,A0,A4,A1,80.0,70.0,11,A0,A1
0.95,A0,A2,A1,60.0,125.0,1,A0,A1
1.8,A0,A0,A1,138.0,150.0,10,A1,A2
6.29,A0,A4,A0,109.0,150.0,4,A1,A1
3.249,A1,A4,A1,90.0,150.0,5,A0,A1
1.999,A0,A7,A1,68.0,150.0,3,A1,A1
0.0,A1,A6,A1,90.0,125.0,3,A0,A2
